Shar	Pdis	Mmyo	Pkuh	Mmol	Raeg	Rfer	Btau	Oorc	Sscr	Cfer	Csim	Ecab	Mjav	Fcat	Hhya	Cfam	Mput	Zcal	Ccri	Eeur	Sara	Moch	Mmus	Rnor	Hgla	Svul	Ocun	Opri	Tbel	Mmur	Ogar	Sbol	Ptro	Hsap	Mfas	Dnov	Tman	Lafr	Eedw	Etel	Mdom	Vurs	Glea	Oana
150	7984	808	71	163	982	75	117	785	121	430	93	218	147	705	404	236	313	199	60	63	119	104	95	401	75	740	44	284	1869	67	1352	122	82	244	988	3214	NA	227	34	1618	982	67	146	192
221	145	122	70	352	198	31	501	1623	146	131	118	1183	80	59	68	411	1209	1562	61	64	424	564	156	105	347	146	46	80	138	267	291	1003	296	754	383	481	NA	101	449	92	176	67	124	145
102	211	181	294	346	72	291	155	992	160	128	614	1069	77	164	84	347	1230	4270	63	74	69	120	83	187	396	125	89	179	195	97	426	168	170	158	306	536	NA	150	122	173	213	75	86	50
88	484	142	64	129	123	519	270	1651	198	319	1473	456	198	94	68	2752	63	3876	54	43	136	264	188	2584	74	122	164	251	132	74	2039	304	75	66	223	1895	NA	247	401	212	87	69	81	60
50	339	NA	32	1005	99	197	94	255	392	417	57	69	46	53	34	70	45	1138	60	175	105	69	164	536	183	327	292	292	208	278	176	56	169	56	91	369	NA	460	315	379	120	402	67	185
143	244	NA	147	395	86	247	87	105	101	103	56	76	83	107	59	286	44	1563	1772	52	48	499	33	730	314	226	130	58	921	322	316	163	77	112	120	1213	NA	2656	371	482	1560	225	219	321
118	350	NA	138	1256	128	157	76	338	138	182	71	71	145	685	137	46	1457	79	142	49	48	246	398	253	324	300	593	198	230	406	202	90	102	143	148	64	NA	483	833	473	205	41	119	65
230	408	NA	65	710	648	185	391	4551	1610	347	55	141	54	60	75	2371	61	203	59	80	76	45	97	532	252	290	125	212	340	512	NA	241	88	77	1035	131	NA	451	208	89	1362	152	102	293
152	298	NA	66	258	467	311	935	92	82	398	67	537	402	206	NA	472	1036	198	55	103	NA	72	117	480	217	354	64	138	65	NA	NA	8340	88	223	1469	2225	NA	380	34	258	665	71	244	66
1727	62	NA	305	563	126	642	107	246	411	128	187	81	1348	74	44	949	640	79	65	66	NA	60	97	60	1119	111	91	220	88	NA	NA	320	693	273	216	1249	NA	212	153	1713	255	175	NA	52
3644	123	NA	107	141	64	345	107	1249	87	170	44	66	3566	96	1768	266	1635	1563	69	81	NA	97	186	89	276	68	185	209	272	NA	NA	350	5077	50	1312	1050	NA	385	531	326	1195	54	NA	67
89	204	NA	204	1693	370	228	37	1122	112	186	69	1784	1252	174	71	280	1932	1074	65	170	NA	73	56	71	97	66	1471	1116	3865	NA	NA	92	5668	177	215	1815	NA	377	238	1222	389	151	NA	64
64	132	NA	112	4557	835	293	1143	2310	209	326	78	279	3863	92	265	359	2650	4266	475	53	NA	46	1141	84	191	55	123	1043	599	NA	NA	170	234	5927	274	375	NA	137	49	2568	1671	676	NA	139
1495	366	NA	NA	1567	41	85	65	1657	196	127	148	65	9608	786	827	280	1782	144	55	90	NA	74	963	167	549	66	395	572	136	NA	NA	145	3659	1210	1857	854	NA	182	55	2621	1295	146	NA	68
2271	142	NA	NA	1074	1549	100	430	3236	57	905	1415	337	162	225	38	37	539	40	88	72	NA	183	429	907	146	41	331	1674	479	NA	NA	1411	129	2989	1399	607	NA	1608	60	176	862	56	NA	170
208	398	NA	NA	1371	57	11373	177	2182	186	73	1995	658	202	116	264	901	66	57	82	54	NA	136	927	217	501	194	84	4186	130	NA	NA	162	167	471	67	167	NA	86	605	154	73	672	NA	34
86	208	NA	NA	303	267	212	152	987	87	123	357	72	208	652	581	50	477	536	61	44	NA	441	482	96	52	473	103	852	112	NA	NA	187	57	671	2190	78	NA	2436	271	51	5908	150	NA	86
1113	36	NA	NA	77	1871	63	283	2747	348	317	377	506	504	957	56	44	1040	145	63	142	NA	68	80	1220	200	206	108	215	234	NA	NA	291	116	286	669	120	NA	212	611	264	153	832	NA	65
1816	93	NA	NA	648	164	201	153	130	1001	65	87	170	145	596	609	32	NA	65	63	78	NA	1134	173	145	131	956	170	484	65	NA	NA	141	111	164	79	63	NA	399	3202	335	1140	64	NA	38
168	459	NA	NA	148	54	201	651	118	251	119	1250	66	952	84	1216	4294	NA	148	57	144	NA	111	352	45	267	746	84	1077	130	NA	NA	225	190	51	185	1275	NA	8896	71	215	537	64	NA	309
156	134	NA	NA	50	101	117	64	357	237	287	780	64	122	214	77	489	NA	58	61	146	NA	698	288	103	817	188	53	552	733	NA	NA	56	166	429	180	627	NA	1806	60	399	151	1420	NA	166
208	156	NA	NA	1345	101	200	100	109	369	529	427	551	189	895	312	178	NA	269	938	125	NA	47	1706	672	1114	91	51	204	91	NA	NA	161	729	89	686	88	NA	2316	1673	356	244	10647	NA	46
83	69	NA	NA	79	308	596	583	538	260	100	115	574	112	1354	603	75	NA	777	233	82	NA	1334	814	114	100	14299	278	835	135	NA	NA	554	171	149	156	148	NA	954	590	152	4426	55	NA	335
148	111	NA	NA	35	1590	168	1651	307	218	253	1932	53	545	222	57	135	NA	265	58	77	NA	69	761	137	248	143	495	3082	144	NA	NA	210	214	11702	96	33	NA	258	1177	70	662	157	NA	155
133	49	NA	NA	126	2121	168	130	83	108	146	67	89	357	222	113	89	NA	506	96	130	NA	58	373	307	1565	149	331	1094	81	NA	NA	66	268	4781	1916	62	NA	137	336	601	1330	3307	NA	429
172	16661	NA	NA	121	200	74	59	615	593	97	135	51	277	1590	82	65	NA	745	81	76	NA	106	270	192	148	179	60	41	349	NA	NA	81	106	57	89	1840	NA	1589	620	159	83	62	NA	1341
4217	127	NA	NA	68	126	598	55	654	205	243	66	73	1018	779	52	183	NA	389	113	79	NA	2083	192	407	298	234	198	70	1187	NA	NA	144	219	4198	129	317	NA	262	62	150	2118	54	NA	106
160	115	NA	NA	237	362	142	137	1827	221	76	43	169	163	699	112	341	NA	71	59	78	NA	1410	156	403	66	295	71	96	142	NA	NA	50	1707	2574	1113	131	NA	208	282	955	260	63	NA	76
128	137	NA	NA	148	373	855	91	84	640	195	1167	105	207	1890	124	68	NA	78	51	156	NA	115	65	277	91	42	857	609	396	NA	NA	108	2765	148	2251	419	NA	1167	174	393	845	88	NA	223
122	389	NA	NA	142	164	855	116	126	256	133	155	135	1668	169	80	47	NA	931	63	570	NA	341	716	825	391	610	54	99	657	NA	NA	509	200	81	92	48	NA	4436	58	891	139	NA	NA	68
218	40	NA	NA	335	1218	830	179	1690	1082	124	85	68	1571	81	195	72	NA	190	112	492	NA	94	370	548	104	542	114	183	241	NA	NA	61	142	145	1445	186	NA	129	95	50	339	NA	NA	111
33	54	NA	NA	1541	484	707	173	657	179	861	88	70	76	337	158	702	NA	290	363	390	NA	57	96	1284	113	51	416	95	551	NA	NA	96	230	987	193	70	NA	3081	54	1056	537	NA	NA	71
78	34	NA	NA	NA	174	283	396	103	99	133	140	72	209	382	354	90	NA	678	449	367	NA	628	78	214	662	358	566	113	166	NA	NA	90	61	4679	356	629	NA	4418	187	1208	384	NA	NA	102
161	106	NA	NA	NA	778	253	224	40	105	326	189	898	1458	135	60	1473	NA	107	37	57	NA	179	72	3028	187	395	1508	91	301	NA	NA	217	154	263	62	2190	NA	433	168	1121	2396	NA	NA	99
175	142	NA	NA	NA	5619	171	315	268	120	117	215	96	101	1109	270	1016	NA	288	52	67	NA	75	139	614	108	389	1092	377	1353	NA	NA	226	530	149	327	1534	NA	2614	1910	1218	108	NA	NA	66
51	88	NA	NA	NA	1635	2484	242	264	219	162	76	1213	715	377	53	854	NA	102	3320	115	NA	72	243	561	295	1034	1794	809	109	NA	NA	125	1082	1619	105	1278	NA	313	140	144	133	NA	NA	143
288	321	NA	NA	NA	294	1725	2794	719	542	139	76	460	887	173	72	187	NA	100	135	786	NA	759	656	92	58	214	37	260	140	NA	NA	1388	245	51	236	57	NA	4593	166	546	45	NA	NA	43
584	180	NA	NA	NA	1914	536	103	337	220	903	110	432	96	538	41	1283	NA	81	93	5750	NA	61	56	103	157	81	331	202	248	NA	NA	485	742	279	520	806	NA	1072	452	884	521	NA	NA	48
992	108	NA	NA	NA	1914	352	145	1420	191	73	572	969	2970	93	3194	70	NA	105	189	1198	NA	332	271	305	111	133	85	109	110	NA	NA	123	155	6245	1655	82	NA	3601	74	230	125	NA	NA	79
76	51	NA	NA	NA	369	90	57	1646	448	123	570	3327	4549	339	182	250	NA	61	103	210	NA	74	36	1052	229	81	37	1686	136	NA	NA	649	50	1488	732	90	NA	242	70	838	962	NA	NA	66
144	141	NA	NA	NA	1624	523	54	224	188	289	72	1744	383	66	1673	54	NA	52	241	4805	NA	1363	424	481	68	316	201	122	811	NA	NA	306	85	435	468	68	NA	212	65	137	487	NA	NA	92
584	1614	NA	NA	NA	5609	146	202	382	104	65	72	57	179	66	441	174	NA	66	169	1109	NA	74	355	46	184	665	265	298	138	NA	NA	504	59	89	349	32	NA	559	685	140	63	NA	NA	139
158	304	NA	NA	NA	781	103	63	149	132	204	67	54	42	547	70	3118	NA	71	122	184	NA	103	251	122	171	329	142	297	135	NA	NA	194	112	132	698	620	NA	378	92	117	185	NA	NA	288
96	9413	NA	NA	NA	NA	3597	289	93	311	125	86	78	179	117	114	3433	NA	137	49	68	NA	90	365	229	329	108	164	244	246	NA	NA	127	143	1356	148	245	NA	196	63	149	259	NA	NA	149
78	78	NA	NA	NA	NA	4823	121	159	73	825	76	58	42	243	68	179	NA	70	346	46	NA	173	128	391	256	130	75	123	165	NA	NA	126	86	3335	98	85	NA	10689	185	99	244	NA	NA	59
158	770	NA	NA	NA	NA	310	1878	223	41	252	67	418	367	418	55	721	NA	472	132	44	NA	483	189	80	170	868	369	159	526	NA	NA	365	435	249	3607	299	NA	116	256	80	450	NA	NA	168
172	222	NA	NA	NA	NA	1111	76	545	40	451	79	406	70	546	376	2413	NA	69	72	48	NA	139	93	842	151	62	113	588	525	NA	NA	66	333	147	1764	1017	NA	151	546	847	83	NA	NA	145
128	1118	NA	NA	NA	NA	774	544	785	89	134	98	663	1047	308	2851	1312	NA	575	276	76	NA	154	216	105	74	1285	217	136	525	NA	NA	836	235	443	1441	65	NA	59	1572	152	316	NA	NA	140
232	1504	NA	NA	NA	NA	4829	1070	4668	69	903	346	84	120	1241	43	2290	NA	2219	71	68	NA	201	173	57	102	104	154	199	483	NA	NA	103	5907	2707	130	243	NA	100	192	433	105	NA	NA	123
187	2343	NA	NA	NA	NA	310	1072	876	39	73	320	72	4633	618	62	1751	NA	130	55	119	NA	4617	160	182	79	56	94	503	249	NA	NA	8182	1398	573	3273	219	NA	142	77	205	141	NA	NA	188
142	115	NA	NA	NA	NA	1111	4547	832	313	123	68	67	1147	2937	50	888	NA	230	69	54	NA	54	955	454	186	69	181	387	89	NA	NA	256	2990	223	96	899	NA	3756	77	355	90	NA	NA	55
446	36	NA	NA	NA	NA	355	3135	1105	37	289	111	265	3040	597	67	99	NA	1901	62	77	NA	149	464	177	95	59	2726	561	223	NA	NA	64	476	90	1002	118	NA	496	78	274	653	NA	NA	108
820	49	NA	NA	NA	NA	121	846	171	156	65	72	120	228	6564	75	30	NA	1322	98	126	NA	164	163	81	56	61	917	1188	287	NA	NA	134	672	177	167	72	NA	55	417	449	1439	NA	NA	65
1351	139	NA	NA	NA	NA	53	171	2623	104	237	46	314	266	452	361	61	NA	130	56	2612	NA	94	161	101	101	87	447	5303	1194	NA	NA	69	286	859	820	293	NA	4560	169	124	4323	NA	NA	147
125	103	NA	NA	NA	NA	81	96	13917	41	249	59	143	1016	311	72	262	NA	NA	69	607	NA	69	130	236	44	35	205	657	12643	NA	NA	268	235	4155	111	919	NA	3714	333	160	551	NA	NA	46
111	229	NA	NA	NA	NA	65	177	2079	55	59	71	2299	153	345	105	128	NA	NA	73	49	NA	85	713	520	193	152	91	346	2588	NA	NA	107	402	261	4198	478	NA	309	38	103	160	NA	NA	119
85	94	NA	NA	NA	NA	374	208	409	79	166	72	140	310	169	498	73	NA	NA	171	188	NA	62	152	219	202	113	94	590	107	NA	NA	343	87	113	91	254	NA	2227	1317	744	499	NA	NA	385
149	116	NA	NA	NA	NA	191	212	6857	66	94	66	68	503	10150	161	116	NA	NA	436	75	NA	367	144	103	240	649	228	229	219	NA	NA	3352	110	850	245	1249	NA	1395	498	169	181	NA	NA	48
85	302	NA	NA	NA	NA	258	4038	240	445	200	66	43	624	774	585	2069	NA	NA	115	123	NA	548	67	107	71	203	149	961	649	NA	NA	50	129	211	362	3161	NA	1636	2040	250	89	NA	NA	178
133	521	NA	NA	NA	NA	78	149	2007	348	101	324	69	67	33	483	121	NA	NA	105	129	NA	445	171	41	121	178	213	764	664	NA	NA	138	4778	2205	681	1996	NA	534	91	161	135	NA	NA	64
147	NA	NA	NA	NA	NA	435	518	754	102	846	60	166	3064	67	347	1358	NA	NA	72	356	NA	313	159	81	60	262	6066	545	118	NA	NA	143	57	1784	138	60	NA	81	990	200	171	NA	NA	32
163	NA	NA	NA	NA	NA	334	289	354	135	154	70	46	83	85	72	217	NA	NA	223	68	NA	2286	48	735	889	314	418	191	279	NA	NA	110	6886	1040	250	270	NA	43	222	210	695	NA	NA	94
245	NA	NA	NA	NA	NA	3162	215	382	240	432	2559	537	144	351	95	895	NA	NA	707	827	NA	1292	664	242	314	57	190	115	334	NA	NA	231	149	82	1632	775	NA	569	257	126	162	NA	NA	48
265	NA	NA	NA	NA	NA	2678	970	1117	57	432	89	61	3023	601	191	229	NA	NA	68	177	NA	82	203	1264	161	101	81	48	730	NA	NA	158	11710	124	61	254	NA	1737	281	440	1376	NA	NA	73
199	NA	NA	NA	NA	NA	316	1487	735	348	120	37	288	3050	1720	2731	66	NA	NA	70	493	NA	66	248	253	114	98	2718	57	434	NA	NA	586	147	49	182	208	NA	65	315	124	289	NA	NA	62
198	NA	NA	NA	NA	NA	146	585	1003	278	337	43	54	784	1269	91	1169	NA	NA	60	1154	NA	314	220	1199	218	74	915	55	92	NA	NA	1438	77	448	310	1104	NA	187	714	63	136	NA	NA	67
